,deltaT,digital_i,analog_i,digital_time,analog_time,digital_ToT,analog_ToT
207,0.04782605171203613,218,330,1666207357.3476052,1666207357.2997792,4.88,25.9
208,0.005930662155151367,219,331,1666207360.7807052,1666207360.7747746,7.06,7.87
209,0.0002734661102294922,220,333,1666207368.8329115,1666207368.833185,6.44,6.96
210,0.0035462379455566406,221,335,1666207378.1628463,1666207378.1593,7.39,7.99
211,0.0060880184173583984,223,338,1666207388.0309625,1666207388.0370505,2.24,3.21
212,0.04554486274719238,224,339,1666207395.113222,1666207395.067677,5.8,6.37
213,0.0070209503173828125,225,340,1666207401.142689,1666207401.135668,11.96,12.56
214,0.05344080924987793,226,341,1666207404.8682148,1666207404.814774,4.44,5.15
215,0.04305434226989746,227,342,1666207414.93893,1666207414.8958757,6.89,7.38
216,0.022388219833374023,228,343,1666207421.2392974,1666207421.2616856,2.84,3.55
217,0.0020241737365722656,229,344,1666207424.8518677,1666207424.8538918,0.66,21.56
218,0.000997304916381836,230,345,1666207426.7893243,1666207426.7903216,8.04,8.52
219,0.03841519355773926,231,346,1666207427.218699,1666207427.1802838,1.43,22.44
220,0.0135345458984375,232,349,1666207438.7127352,1666207438.6992006,10.62,11.3
221,0.006015777587890625,233,350,1666207441.3749156,1666207441.3809314,4.58,25.63
222,0.02398371696472168,234,351,1666207458.564113,1666207458.5880966,7.14,7.73
223,0.058585166931152344,235,352,1666207460.9118474,1666207460.8532622,6.52,7.16
224,0.024176359176635742,236,353,1666207464.2716932,1666207464.2958696,2.26,3.43
225,0.0006937980651855469,237,354,1666207473.654395,1666207473.6537013,6.46,7.0
226,0.005609273910522461,238,356,1666207479.3628683,1666207479.357259,6.06,6.57
227,0.0009663105010986328,239,357,1666207480.521156,1666207480.5201898,7.12,7.76
228,0.0,240,358,1666207485.6835582,1666207485.6835582,6.73,7.59
229,0.04307985305786133,241,361,1666207505.261563,1666207505.2184832,5.81,6.37
230,0.0,242,362,1666207510.1903129,1666207510.1903129,6.88,7.45
231,0.03846335411071777,244,363,1666207512.09089,1666207512.0524266,7.12,7.57
232,0.004728794097900391,245,364,1666207517.7707708,1666207517.766042,4.54,5.16
233,0.0167238712310791,246,366,1666207523.801041,1666207523.8177648,6.37,7.16
234,0.0029587745666503906,247,367,1666207527.6899192,1666207527.6869605,7.06,7.79
235,0.002373218536376953,248,368,1666207533.2503934,1666207533.2480202,6.16,6.69
236,0.0012412071228027344,249,369,1666207538.1096013,1666207538.1108425,7.04,7.47
237,0.052056074142456055,250,372,1666207545.8936665,1666207545.8416104,7.45,8.11
238,0.004050731658935547,251,373,1666207555.2978525,1666207555.3019032,7.26,7.73
239,0.0009315013885498047,252,375,1666207572.1117096,1666207572.110778,8.14,8.66
240,0.04750704765319824,253,377,1666207576.9689162,1666207576.9214091,1.37,2.56
241,0.043787240982055664,254,379,1666207580.187749,1666207580.1439617,3.72,4.46
242,0.005239963531494141,255,382,1666207583.6730158,1666207583.6782558,6.88,7.5
243,0.05086398124694824,256,383,1666207587.5365863,1666207587.4857223,7.0,7.65
244,0.04991006851196289,257,384,1666207590.4107666,1666207590.3608565,5.84,6.34
245,0.0025336742401123047,258,385,1666207593.1242409,1666207593.1217072,6.22,6.84
246,0.037505388259887695,259,386,1666207607.4925663,1666207607.455061,7.44,8.11
247,0.01668715476989746,260,387,1666207610.8477268,1666207610.864414,7.44,7.97
248,0.0009806156158447266,261,388,1666207614.6129963,1666207614.6120157,5.78,6.37
249,0.007715463638305664,263,390,1666207624.0098572,1666207624.0021417,6.1,6.65
250,0.005972146987915039,264,392,1666207628.7920425,1666207628.7980146,6.52,7.07
251,0.0010063648223876953,265,393,1666207633.5798898,1666207633.5788834,7.13,7.65
252,0.043343544006347656,266,395,1666207638.5118568,1666207638.4685133,7.81,8.31
253,0.000997781753540039,267,396,1666207643.1656494,1666207643.1646516,13.72,14.31
254,0.047866106033325195,268,397,1666207646.306108,1666207646.258242,4.84,5.45
255,0.04369759559631348,269,399,1666207647.1483195,1666207647.104622,7.1,7.6
