,REL,SEC,SOUR,SOURSTAT,STAT,READ
291,25.94498,1656243111.0,-59.99828,136,8,-1.105877e-07
292,26.0142,1656243111.0,-59.99916,136,8,-1.050839e-07
293,26.08344,1656243111.0,-59.9991,136,8,-1.294823e-07
294,26.15267,1656243111.0,-59.99995,136,8,-1.488494e-07
295,26.2219,1656243111.0,-59.99909,136,8,-1.37138e-07
296,26.29114,1656243111.0,-59.99856,136,8,-1.17841e-07
297,27.23038,1656243112.0,-59.99942,136,8,-1.396967e-07
298,27.2996,1656243112.0,-59.99934,136,8,-1.773783e-07
299,28.23882,1656243113.0,-59.99914,136,8,-1.43659e-07
300,28.30805,1656243113.0,-59.99812,136,8,-1.180169e-07
301,29.24728,1656243114.0,-59.9984,136,8,-9.053129e-08
302,30.18652,1656243115.0,-59.99876,136,8,-8.839635e-08
303,30.25576,1656243115.0,-59.9997,136,8,-1.514899e-07
304,31.41419,1656243116.0,-59.9994,136,8,-1.060788e-07
305,31.48341,1656243117.0,-59.99917,136,8,-1.075814e-07
306,32.42264,1656243118.0,-59.99902,136,8,-1.180299e-07
307,32.49186,1656243118.0,-59.99945,136,8,-1.257289e-07
308,32.56108,1656243118.0,-59.99829,136,8,-1.0941e-07
309,32.63031,1656243118.0,-59.99835,136,8,-1.319563e-07
310,32.69953,1656243118.0,-59.99841,136,8,-1.127567e-07
311,32.76877,1656243118.0,-59.9979,136,8,-1.052769e-07
312,33.12844,1656243118.0,-59.99678,136,8,-1.049823e-07
313,33.19766,1656243118.0,-59.99588,136,8,-1.049248e-07
314,33.84638,1656243119.0,-59.99812,136,8,-1.04045e-07
315,34.78559,1656243120.0,-59.99818,136,8,-1.425595e-07
316,35.72478,1656243121.0,-59.99803,136,8,-1.281476e-07
317,35.79402,1656243121.0,-59.99816,136,8,-1.233592e-07
318,36.95247,1656243122.0,-59.99877,136,8,-8.886104e-08
319,38.11092,1656243123.0,-59.99899,136,8,-1.043015e-07
320,38.18014,1656243123.0,-59.99838,136,8,-1.477171e-07
321,39.3386,1656243124.0,-59.99994,136,8,-8.319211e-08
322,40.27783,1656243125.0,-59.99944,136,8,-1.608836e-07
323,40.34705,1656243125.0,-59.99863,136,8,-1.443881e-07
324,40.41627,1656243126.0,-59.999,136,8,-1.114525e-07
325,41.3555,1656243126.0,-59.99879,136,8,-6.508331e-08
326,42.29473,1656243127.0,-59.99807,136,8,-1.014331e-07
327,43.23396,1656243128.0,-59.99864,136,8,-7.869467e-08
328,43.30319,1656243128.0,-59.99947,136,8,-1.2477e-07
329,43.37243,1656243128.0,-59.99884,136,8,-1.356922e-07
330,44.31165,1656243129.0,-59.99892,136,8,-1.354796e-07
331,44.38089,1656243129.0,-59.99885,136,8,-1.531494e-07
332,44.45012,1656243130.0,-59.99841,136,8,-1.173104e-07
333,44.51936,1656243130.0,-59.99911,136,8,-1.174785e-07
334,44.5886,1656243130.0,-59.99922,136,8,-1.189562e-07
335,44.65783,1656243130.0,-59.99813,136,8,-1.163825e-07
336,44.72706,1656243130.0,-59.99829,136,8,-1.603488e-07
337,45.88547,1656243131.0,-59.99765,136,8,-1.277734e-07
338,45.9547,1656243131.0,-59.99743,136,8,-1.083654e-07
339,46.02395,1656243131.0,-59.99934,136,8,-1.272158e-07
340,46.96315,1656243132.0,-59.99895,136,8,-1.25277e-07
341,47.03238,1656243132.0,-59.9979,136,8,-1.496746e-07
342,47.1016,1656243132.0,-59.99955,136,8,-1.494595e-07
343,47.17082,1656243132.0,-59.99911,136,8,-1.168422e-07
344,47.24004,1656243132.0,-59.99931,136,8,-1.408311e-07
345,47.30928,1656243132.0,-59.99947,136,8,-1.294544e-07
346,48.24846,1656243133.0,-59.99825,136,8,-1.356641e-07
347,49.18773,1656243134.0,-59.99955,136,8,-1.379143e-07
348,49.25695,1656243134.0,-59.99812,136,8,-1.129873e-07
349,49.32618,1656243134.0,-59.99844,136,8,-1.11096e-07
350,50.26539,1656243135.0,-59.99784,136,8,-1.00331e-07
